id,name,accountId,gain,absGain,daily,monthly,withdrawals,deposits,interest,profit,balance,drawdown,equity,equityPercent,demo,lastUpdateDate,creationDate,firstTradeDate,tracking,views,commission,currency,profitFactor,pips,invitationUrl,server
7587811,49096382,49096382,14.5154961778,11.77,0.3,9.75,5918.7,5489.45,-32.01,645.14,206.09,19.35,214.99,104.32,False,01/05/2021 17:24,12/23/2020 09:26,11/23/2020 00:00,0,0,0,USD,1.47,-2239.2,,@{name=XM}
7587836,32194907,32194907,36.4220743594,14.15,1.74,36.42,269,493,-1.07,69.74,293.74,5.02,292.72,99.65,False,01/04/2021 10:27,12/23/2020 09:41,12/20/2020 00:00,0,0,0,USD,1.79,-387.4,,@{name=XM}
7587839,49071556,49071556,-14.0614107369,-4.64,-0.2,-6.81,219.32,230,-4.11,-10.68,0,41.58,0,0,False,01/05/2021 11:07,12/23/2020 09:43,10/25/2020 00:00,0,0,0,USD,0.95,-530.9,,@{name=XM}
7587844,49089030,49089030,56.9624921683,-0.56,0.84,29.47,1355.01,1362.64,-4.53,-7.63,0,79.91,0,0,False,01/06/2021 08:55,12/23/2020 09:47,11/14/2020 00:00,0,0,0,USD,0.97,1831,,@{name=XM}
7613158,ICMarket-Copy-Trade,5265696,-47.9146530135,-33.7,-27.83,-47.91,0,1534.13,-1.44,-517.04,1017.09,69.05,1009.07,99.21,False,01/07/2021 09:55,01/05/2021 06:23,01/05/2021 00:00,0,0,0,USD,0.48,-51560,,@{name=IC Markets}
